Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0005201	extracellular matrix structural constituent	 	1.713E-7	1.447E-4	1.447E-4	1.059E-3	15	195	MATN2,COL14A1,COL6A3,COL8A1,COL12A1,TNC,VCAN,PXDN,DPT,LAMA2,LAMB1,LAMC2,THBS4,LTBP1,LUM
GO: Molecular Function	GO:0044877	protein-containing complex binding	 	8.439E-6	7.131E-3	3.565E-3	2.609E-2	48	1726	ABL1,ESR1,ACTN1,F2R,ANKRD54,NOD1,MLH1,COL14A1,UNG,FST,HMGN4,ANK3,ANXA2,CARMIL1,ANXA6,GAS7,POU5F1,PALM2AKAP2,VCAN,FYN,PROS1,MYC,INHBA,ZNF423,SRP54,PANX1,BCL2,ITGB5,MPRIP,MAGI2,DST,SACS,SVIL,JAM3,SYNE1,RTN4,CAPZB,GRB10,LAMB1,CASP8,TGFB2,FMNL3,THBS4,RNASEL,MACF1,LUM,SMAD3,SMAD7
GO: Molecular Function	GO:0001968	fibronectin binding	 	2.567E-5	2.169E-2	7.229E-3	5.290E-2	6	41	MMP2,TNC,CCDC80,IGFBP3,THBS4,PLEKHA2
GO: Molecular Function	GO:0003779	actin binding	 	4.098E-5	3.463E-2	8.657E-3	6.334E-2	20	497	ABL1,MAP2,ACTN1,SSH1,CNN3,WIPF1,ANXA2,ANXA6,GAS7,MICAL2,SNTB1,PANX1,MPRIP,DST,PDLIM3,SVIL,SYNE1,CAPZB,FMNL3,MACF1
GO: Molecular Function	GO:0005198	structural molecule activity	 	1.068E-4	9.021E-2	1.804E-2	1.320E-1	28	892	MAP2,MATN2,MBP,ACTN1,COL14A1,COL6A3,COL8A1,COL12A1,ANK3,TNC,MRPL22,VCAN,NUP93,SNTB1,PANX1,BFSP1,MAGI2,DST,PXDN,PDLIM3,DPT,LAMA2,LAMB1,LAMC2,THBS4,MACF1,LTBP1,LUM
GO: Molecular Function	GO:0051015	actin filament binding	 	2.083E-4	1.761E-1	2.559E-2	1.872E-1	12	240	ABL1,ACTN1,ANXA2,ANXA6,GAS7,PANX1,MPRIP,SVIL,SYNE1,CAPZB,FMNL3,MACF1
GO: Molecular Function	GO:0047757	chondroitin-glucuronate 5-epimerase activity	 	2.120E-4	1.791E-1	2.559E-2	1.872E-1	2	2	DSE,DSEL
GO: Biological Process	GO:0072359	circulatory system development	 	6.255E-11	3.371E-7	1.754E-7	1.608E-6	65	1977	DDAH1,ABL1,ACACB,MBD1,F2R,RXRG,SVEP1,VSTM4,RIN2,AMOTL1,PKD2,COL14A1,ALCAM,FLRT2,MMP2,FHL2,FOXL1,JCAD,COL8A1,ANXA2,RGCC,CHSY1,NOX4,POU5F1,MIR100,MICAL2,VCAN,PDGFD,OSR1,FOXP1,PROX1,MYC,CYP1B1,MASP1,ADAM19,INHBA,NRP1,STIM1,PXDN,PDLIM3,NFATC2,SULF1,JAM3,SIN3B,TCF21,SYNE1,RTN4,CNTRL,CASP7,CASP8,ADTRP,EDN1,EDNRA,TGFB2,FMNL3,HEYL,THBS4,ANGPTL2,LOXL2,LTBP1,ELL,EPAS1,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0007155	cell adhesion	 	6.507E-11	3.507E-7	1.754E-7	1.608E-6	60	1742	CDKN2A,ABL1,MBP,ACTN1,F2R,TENM2,SVEP1,RIN2,AMOTL1,COL14A1,ALCAM,FLRT2,MMP2,CNN3,JCAD,FNDC3B,COL6A3,COL8A1,COL12A1,ANK3,TNC,ANXA2,CARMIL1,RGCC,CCDC80,RADIL,VCAN,PDE5A,ZFHX3,FYN,CYP1B1,ADAM19,TM9SF4,BCL2,SIRPA,ITGB5,NRP1,MAGI2,KANK1,DST,PXDN,SULF1,JAM3,DPT,ARHGEF28,NT5E,RTN4,LAMA2,LAMB1,LAMC2,ADTRP,TGFB2,SSPN,THBS4,LOXL2,SPRY4,MACF1,PLEKHA2,SMAD3,SMAD7
GO: Biological Process	GO:0000902	cell morphogenesis	 	4.952E-10	2.669E-6	8.897E-7	8.158E-6	51	1415	ABL1,TRIO,MAP2,MATN2,MBP,ACTN1,F2R,TENM2,SSH1,ALCAM,FLRT2,MMP2,FNDC3B,COL6A3,ANK3,TNC,CARMIL1,GAS7,NOX4,CCDC80,PALM2AKAP2,AKAP12,BTBD3,RADIL,FOXP1,FYN,PROX1,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,KANK1,DST,NOVA1,ARHGEF28,RTN4,CAPZB,ARPIN-AP3S2,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,FMNL3,LIPA,THBS4,SPRY4,MACF1
GO: Biological Process	GO:0061564	axon development	 	1.559E-9	8.403E-6	2.007E-6	1.840E-5	35	780	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,COL12A1,ANK3,TNC,CCDC80,VCAN,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,DST,JAM3,NOVA1,ARHGEF28,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,MACF1
GO: Biological Process	GO:0030198	extracellular matrix organization	 	2.136E-9	1.151E-5	2.007E-6	1.840E-5	24	394	ABL1,MATN2,COL14A1,FLRT2,MMP2,CREB3L2,COL8A1,COL12A1,ANXA2,RGCC,CCDC80,CYP1B1,PXDN,SULF1,CRISPLD2,DPT,LAMA2,LAMB1,ADTRP,TGFB2,LOXL2,LUM,SMAD3,PLCE1
GO: Biological Process	GO:0043062	extracellular structure organization	 	2.245E-9	1.210E-5	2.007E-6	1.840E-5	24	395	ABL1,MATN2,COL14A1,FLRT2,MMP2,CREB3L2,COL8A1,COL12A1,ANXA2,RGCC,CCDC80,CYP1B1,PXDN,SULF1,CRISPLD2,DPT,LAMA2,LAMB1,ADTRP,TGFB2,LOXL2,LUM,SMAD3,PLCE1
GO: Biological Process	GO:0045229	external encapsulating structure organization	 	2.607E-9	1.405E-5	2.007E-6	1.840E-5	24	398	ABL1,MATN2,COL14A1,FLRT2,MMP2,CREB3L2,COL8A1,COL12A1,ANXA2,RGCC,CCDC80,CYP1B1,PXDN,SULF1,CRISPLD2,DPT,LAMA2,LAMB1,ADTRP,TGFB2,LOXL2,LUM,SMAD3,PLCE1
GO: Biological Process	GO:0007409	axonogenesis	 	6.303E-9	3.398E-5	4.085E-6	3.746E-5	32	705	ABL1,TRIO,MAP2,MATN2,MBP,TENM2,ALCAM,FLRT2,MMP2,COL6A3,ANK3,TNC,CCDC80,FOXP1,FYN,BCL2,TIAM2,NRP1,STIM1,RGMA,PRDM8,DST,NOVA1,ARHGEF28,RTN4,LAMA2,LAMB1,LAMC2,EDN1,EDNRA,TGFB2,MACF1
